iri,label,definition,type
https://www.commoncoreontologies.org/ont00001901,aggregate has role,"x aggregate_has_role y iff x is an instance of Object Aggregate and y is an instance of Role, such that x aggregate_bearer_of y.",property
https://www.commoncoreontologies.org/ont00001904,is measured by,"y is_measured_by x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to some scale or classification scheme.",property
https://www.commoncoreontologies.org/ont00001906,is maternal first cousin of,Person A is maternal first cousin of Person B iff Person B has mother M and M has sibling P and P is parent of Person A.,property
https://www.commoncoreontologies.org/ont00001907,aggregate has quality,"x aggregate_has_quality y iff x is an instance of Object Aggregate and y is an instance of Quality, such that x aggregate_bearer_of y.",property
https://www.commoncoreontologies.org/ont00001908,uses time zone identifier,"x uses_time_zone_identifier y iff x is an instance of Information Bearing Entity and y is an instance of Time Zone Identifier, such that y designates the spatial region associated with the time zone mentioned in x.",property
https://www.commoncoreontologies.org/ont00001909,has tangential part,"x has_tangential_part y iff x, y, and z are instances of Immaterial Entity, and x has_spatial_part y, such that z externally connects with both x and y.",property
https://www.commoncoreontologies.org/ont00001910,permits,"x permits y at t iff: x is an instance of Process Regulation at time t, and y is an instance of Process at time t, and x prescribes that y may occur.",property
https://www.commoncoreontologies.org/ont00001912,uses reference system,"y uses_reference_system x iff y is an instance of Information Bearing Entity and x is an instance of Reference System, such that x describes the set of standards mentioned in y.",property
https://www.commoncoreontologies.org/ont00001913,uses geospatial coordinate reference system,"y uses_geospatial_coordinate_reference_system x iff y is an instance of Information Bearing Entity and x is an instance of Geospatial Coordinate Reference System, such that x describes the set of standards mentioned in y.",property
https://www.commoncoreontologies.org/ont00001914,is measured by nominal,"y is_measured_by_nominal x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x classifies y relative to some set of shared, possibly arbitrary, characteristics.",property
https://www.commoncoreontologies.org/ont00001915,interval met by,A Temporal Interval INT2 is met by some Temporal Interval INT1 iff there exists some Temporal Instant inst1 such that inst1 is the starting instant of INT2 and inst1 is the ending instant of INT1.,property
https://www.commoncoreontologies.org/ont00001916,designates,"x designates y iff x is an instance of an Information Content Entity, and y is an instance of an Entity, such that given some context, x uniquely distinguishes y from other entities.",property
https://www.commoncoreontologies.org/ont00001917,described by,"x described_by y iff y is an instance of Information Content Entity, and x is an instance of Entity, such that y is about the characteristics by which y can be recognized or visualized.",property
https://www.commoncoreontologies.org/ont00001918,occurs at,"x occurs_at y iff x is an instance of Process and y is an instance of Site, such that x occurs in y.",property
https://www.commoncoreontologies.org/ont00001919,is mentioned by,"y is_mention_by x iff x is an instance Information Bearing Entity and y is an instance Entity, such that x is used as a reference to y.",property
https://www.commoncoreontologies.org/ont00001920,prescribed by,"x prescribed_by y iff y is an instance of Information Content Entity and x is an instance of Entity, such that y serves as a rule or guide for x if x is an Occurrent, or y serves as a model for x if x is a Continuant.",property
https://www.commoncoreontologies.org/ont00001921,has input,"y has_input x iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the beginning of y is a necessary condition for the start of y.",property
https://www.commoncoreontologies.org/ont00001922,has recipient,"x has_recipient y iff y is an instance of Agent and x is an instance of Act Of Communication, such that y is the recipient and decoder of the InformationContentEntity intended for communication in x.",property
https://www.commoncoreontologies.org/ont00001923,interval starts,"A Temporal Interval INT1 starts some Temporal Interval INT2 iff there exist Temporal Instants inst1, inst2, and inst3 such that inst1 is the starting instant of both INT1 and INT2, inst2 is the ending instant of INT1, inst3 is the ending instant of INT2 and inst2 is before inst3.",property
https://www.commoncoreontologies.org/ont00001924,interval contains,"A Temporal Interval INT2 contains some Temporal Interval INT1 iff there exist Temporal Instants inst1, inst2, inst3, and inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst3 is before or identical to inst1, and inst2 is before or identical to inst4, but it is not the case that both inst3 is identical to inst1 and inst2 is identical to inst4.",property
https://www.commoncoreontologies.org/ont00001925,is used by,"x is_used_by y iff y is an instance of an Agent and x is an instance of a Material Entity, such that both x and y participate in some instance of a Process wherein y attempts to accomplish a goal by manipulating, deploying, leveraging some attribute of y.",property
https://www.commoncoreontologies.org/ont00001928,is predecessor of,A continuant c1 is a predecessor of some continuant c2 iff there is some process p1 and c1 is an input to p1 and c2 is an output of p1.,property
https://www.commoncoreontologies.org/ont00001931,externally connects with,An immaterial entity im1 externally connects with some immaterial entity im2 iff im1 connects with im2 and im1 does not overlap with im2.,property
https://www.commoncoreontologies.org/ont00001933,process starts,"x process_starts y iff x and y are instances of processes, and x is_cause_of y, and i is an instance of a temporal instant, and r is an instant of a temporal interval, and y has starting instance i, and x occurs on r, and r interval contains i.",property
https://www.commoncoreontologies.org/ont00001936,is object of,"If p is a process and c is a continuant, then c is object of p if and only if the c is part of the projected state that the agent intends to achieve by performing p.",property
https://www.commoncoreontologies.org/ont00001938,represents,"x represents y iff x is an instance of Information Content Entity, y is an instance of Entity, and z is carrier of x, such that x is about y in virtue of there existing an isomorphism between characteristics of z and y.",property
https://www.commoncoreontologies.org/ont00001939,is affiliated with,"x is_affiliated_with y iff x and y are instances of Agent, such that they have any kind of social or business relationship.",property
https://www.commoncoreontologies.org/ont00001977,has affiliate,"x is_affiliated_with y iff x and y are instances of Agent, such that they have any kind of social or business relationship.",property
https://www.commoncoreontologies.org/ont00001940,interval is before,"A TemporalInterval INT1 is before some TemporalInterval INT2 iff there exists TemporalInstants inst1, inst2 such that inst1 is the ending instant of INT1 and inst2 is the starting instant of INT2 and inst1 is before inst2.",property
https://www.commoncoreontologies.org/ont00001942,prescribes,"x prescribes y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x serves as a rule or guide for y if y an Occurrent, or x serves as a model for y if y is a Continuant.",property
https://www.commoncoreontologies.org/ont00001943,supervises,"A person p1 supervises a person p2 by virtue of p1 directing, managing, or overseeing p2.",property
https://www.commoncoreontologies.org/ont00001944,spatial part of,"x spatial_part_of y iff x, y, z, and q are instances of Immaterial Entity, such that for any z connected with x, z is also connected with y, and q is connected with y but not connected with x.",property
https://www.commoncoreontologies.org/ont00001947,quality of aggregate,"x quality_of_aggregate y iff y is an instance of Object Aggregate and x is an instance of Quality, and x inheres_in_aggregate y.",property
https://www.commoncoreontologies.org/ont00001949,has accessory,"x has_accessory y iff x is an instance of Process and y is an instance of Agent, such that y assists another agent in the commission of x, and y was not located at the location of x when x occurred, and y was not an agent_in x.",property
https://www.commoncoreontologies.org/ont00001951,has subordinate role,"For all x,y,t: x has subordinate role y at t iff: x is an instance of Role at time t, and y is an instance of Role at time t, and there is some z such that x is realized by z and z is an instance of Process which creates, modifies, transfers, or eliminates some u such that u is a Process Regulation at time t, and u is addressed to the bearer of y.",property
https://www.commoncoreontologies.org/ont00001954,has capability,"x has_capability y iff x is an instance of Agent and y is an instance of Agent Capability, such that x bearer of y.",property
https://www.commoncoreontologies.org/ont00001956,aggregate has disposition,"x aggregate_has_disposition y iff x is an instance of Object Aggregate and y is an instance of Disposition, such that x aggregate_bearer_of y.",property
https://www.commoncoreontologies.org/ont00001959,inhibits,"x inhibits y iff x and y are non-identical Processes, d is a Decrease of Realizable Entity, and x is_cause_of d, and r is a Realizable Entity, and d has_participant r, and r realized_in y.",property
https://www.commoncoreontologies.org/ont00001961,is measurement unit of,"x is_measurement_unit_of y iff y is an instance of Information Bearing Entity and x is an instance of Measurement Unit, such that x describes the magnitude of measured physical quantity mentioned in y.",property
https://www.commoncoreontologies.org/ont00001962,process started by,"x process_started_by y iff x and y are instances of processes, and x is caused_by y, and i is an instance of a temporal instant, and r is an instant of a temporal interval, and x has starting instance i, and y occurs on r, and r interval contains i.",property
https://www.commoncoreontologies.org/ont00001963,is measured by ordinal,"y is_measured_by_ordinal x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale ordered by rank.",property
https://www.commoncoreontologies.org/ont00001964,is measured by interval,"y is_measured_by_interval x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale which has uniform intervals but has a zero value that does not correspond to an absence of the attribute being measured.",property
https://www.commoncoreontologies.org/ont00001965,is measured by ratio,"y is_measured_by_ratio x iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale having equal unit values and a zero value that corresponds to the absence of the attribute being measured.",property
https://www.commoncoreontologies.org/ont00001966,is a measurement of,"x is_a_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to some scale or classification scheme.",property
https://www.commoncoreontologies.org/ont00001970,inhibited by,"y inhibited_by x iff x and y are non-identical Processes, d is a Decrease of Realizable Entity, and x is_cause_of d, and r is a Realizable Entity, and d has_participant r, and r realized_in y.",property
https://www.commoncoreontologies.org/ont00001971,interval contained by,"A Temporal Interval INT1 is contained by some Temporal Interval INT2 iff there exist Temporal Instants inst1, inst2, inst3, and inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst3 is before or identical to inst1, inst2 is before or identical to inst4, and it is not the case that both inst3 is identical to inst1 and inst2 is identical to inst4.",property
https://www.commoncoreontologies.org/ont00001974,requires,"x requires y at t iff: x is an instance of Process Regulation at time t, and y is an instance of Process at time t, and x prescribes that some y must occur.",property
https://www.commoncoreontologies.org/ont00001976,uses language,x uses_language y iff x is an instance of an Information Bearing Entity and y is an instance of a Language such that the literal value of x is a string that is encoded according to the syntax of y.,property
https://www.commoncoreontologies.org/ont00001978,receives,"x receives y iff x is an instance of Agent and y is an instance of Act Of Communication, such that x is the recipient and decoder of the InformationContentEntity intended for communication in y.",property
https://www.commoncoreontologies.org/ont00001980,describes condition,"p describes_condition c iff p is an instance of a Performance Specification, and p has part d, and d is an instance of a Descriptive Information Content Entity, and p prescribes an entity s, and d describes c, and c is an entity that is causally relevant to s existing as prescribed by p.",property
https://www.commoncoreontologies.org/ont00001982,describes,"x describes y iff x is an instance of Information Content Entity, and y is an instance of Entity, such that x is about the characteristics by which y can be recognized or visualized.",property
https://www.commoncoreontologies.org/ont00001983,is a ratio measurement of,"x is_a_ratio_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x describes some attribute of y relative to a scale having equal unit values and a zero value that corresponds to the absence of the attribute being measured.",property
https://www.commoncoreontologies.org/ont00001984,has interest in,A relation between an entity and some process where the entity has an interest in that process.,property
https://www.commoncoreontologies.org/ont00001986,has output,"y has_output x iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the end of y is a necessary condition for the completion of y.",property
https://www.commoncoreontologies.org/ont00001989,has nontangential part,"x has_nontangential_part y iff x and y are instances of Immaterial Entity, and x has_spatial_part y, such that there does not exist another instance of an Immaterial Entity which externally connects with both x and y.",property
https://www.commoncoreontologies.org/ont00001990,instant is before,A temporal instant t1 (a instance of a zero-dimensional temporal region) is before another temporal instant t2 iff there exists some instance of a temporal interval ti1 such that t1 is the starting instant of ti1 and t2 is the ending instant of ti1.,property
https://www.commoncoreontologies.org/ont00001991,is made of,An object o is made of an object m when m is the material that o consists of and that material does not undergo a change of kind during the creation of o,property
https://www.commoncoreontologies.org/ont00001992,has organizational context,"x has_organizational_context y iff y is an instance of an Organization and x is an instance of a Role and z is an instance of a Person, such that z's affiliation with y is a prerequisite for z bearing x or y ascribes x to the bearer of x.",property
https://www.commoncoreontologies.org/ont00001993,sends,"x sends y iff x is an instance of Agent and y is an instance of Act Of Communication, such that x is the initiator and encoder of the InformationContentEntity intended for communication in y.",property
https://www.commoncoreontologies.org/ont00001997,is reference system of,"x is_reference_system_of y iff y is an instance of Information Bearing Entity and x is an instance of Reference System, such that x describes the set of standards mentioned in y.",property
https://www.commoncoreontologies.org/ont00001998,is permitted by,"y is_permitted_by x at t iff: x is an instance of Process Regulation at time t, and y is an instance of Process at time t, and x prescribes that y may occur.",property
http://www.opengis.net/ont/geosparql#asWKT,as WKT,A Data Property that has as its range a string formated according to the Well-known text standardization for geometric objects.,property
https://www.commoncoreontologies.org/ont00001764,has longitude value,A Data Property that has as its range the longitude value from some Geospatial Location coordinates set expressed in decimal degrees.,property
https://www.commoncoreontologies.org/ont00001765,has text value,A data property that has as its range a string value.,property
https://www.commoncoreontologies.org/ont00001766,has latitude value,A Data Property that has as its range the latitude value from some Geospatial Location coordinates set expressed in decimal degrees.,property
https://www.commoncoreontologies.org/ont00001767,has datetime value,A data property that has as its value a datetime value.,property
https://www.commoncoreontologies.org/ont00001768,has URI value,A data property that has as its range a URI value.,property
https://www.commoncoreontologies.org/ont00001769,has decimal value,A data property that has as its range a decimal value.,property
https://www.commoncoreontologies.org/ont00001770,has double value,A data property that has as its range a double value.,property
https://www.commoncoreontologies.org/ont00001771,has date value,A data property that has as its range a date value.,property
https://www.commoncoreontologies.org/ont00001772,has boolean value,A data property that has as its range a boolean value.,property
https://www.commoncoreontologies.org/ont00001773,has integer value,A data property that has as its range an integer value.,property
http://purl.obolibrary.org/obo/BFO_0000001,entity,(Elucidation) An entity is anything that exists or has existed or will exist,class
http://purl.obolibrary.org/obo/BFO_0000002,continuant,"(Elucidation) A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity",class
http://purl.obolibrary.org/obo/BFO_0000003,occurrent,(Elucidation) An occurrent is an entity that unfolds itself in time or it is the start or end of such an entity or it is a temporal or spatiotemporal region,class
http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,b is an independent continuant =Def b is a continuant & there is no c such that b specifically depends on c or b generically depends on c,class
http://purl.obolibrary.org/obo/BFO_0000006,spatial region,(Elucidation) A spatial region is a continuant entity that is a continuant part of the spatial projection of a portion of spacetime at a given time,class
http://purl.obolibrary.org/obo/BFO_0000008,temporal region,(Elucidation) A temporal region is an occurrent over which processes can unfold,class
http://purl.obolibrary.org/obo/BFO_0000009,two-dimensional spatial region,(Elucidation) A two-dimensional spatial region is a spatial region that is a whole consisting of a surface together with zero or more surfaces which may have spatial regions of lower dimension as parts,class
http://purl.obolibrary.org/obo/BFO_0000011,spatiotemporal region,(Elucidation) A spatiotemporal region is an occurrent that is an occurrent part of spacetime,class
http://purl.obolibrary.org/obo/BFO_0000015,process,"(Elucidation) p is a process means p is an occurrent that has some temporal proper part and for some time t, p has some material entity as participant",class
http://purl.obolibrary.org/obo/BFO_0000016,disposition,(Elucidation) A disposition b is a realizable entity such that if b ceases to exist then its bearer is physically changed & b's realization occurs when and because this bearer is in some special physical circumstances & this realization occurs in virtue of the bearer's physical make-up,class
http://purl.obolibrary.org/obo/BFO_0000017,realizable entity,(Elucidation) A realizable entity is a specifically dependent continuant that inheres in some independent continuant which is not a spatial region & which is of a type some instances of which are realized in processes of a correlated type,class
http://purl.obolibrary.org/obo/BFO_0000018,zero-dimensional spatial region,(Elucidation) A zero-dimensional spatial region is one or a collection of more than one spatially disjoint points in space,class
http://purl.obolibrary.org/obo/BFO_0000019,quality,"(Elucidation) A quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized",class
http://purl.obolibrary.org/obo/BFO_0000020,specifically dependent continuant,b is a specifically dependent continuant =Def b is a continuant & there is some independent continuant c which is not a spatial region & which is such that b specifically depends on c,class
http://purl.obolibrary.org/obo/BFO_0000023,role,"(Elucidation) A role b is a realizable entity such that b exists because there is some single bearer that is in some special physical, social, or institutional set of circumstances in which this bearer does not have to be & b is not such that, if it ceases to exist, then the physical make-up of the bearer is thereby changed",class
http://purl.obolibrary.org/obo/BFO_0000024,fiat object part,(Elucidation) A fiat object part b is a material entity & such that if b exists then it is continuant part of some object c & demarcated from the remainder of c by one or more fiat surfaces,class
http://purl.obolibrary.org/obo/BFO_0000026,one-dimensional spatial region,(Elucidation) A one-dimensional spatial region is a whole consisting of a line together with zero or more lines which may have points as parts,class
http://purl.obolibrary.org/obo/BFO_0000027,object aggregate,(Elucidation) An object aggregate is a material entity consisting exactly of a plurality (≥1) of objects as member parts which together form a unit,class
http://purl.obolibrary.org/obo/BFO_0000028,three-dimensional spatial region,(Elucidation) A three-dimensional spatial region is a whole consisting of a spatial volume together with zero or more spatial volumes which may have spatial regions of lower dimension as parts,class
http://purl.obolibrary.org/obo/BFO_0000029,site,(Elucidation) A site is a three-dimensional immaterial entity whose boundaries either (partially or wholly) coincide with the boundaries of one or more material entities or have locations determined in relation to some material entity,class
http://purl.obolibrary.org/obo/BFO_0000030,object,(Elucidation) An object is a material entity which manifests causal unity & is of a type instances of which are maximal relative to the sort of causal unity manifested,class
http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,(Elucidation) A generically dependent continuant is an entity that exists in virtue of the fact that there is at least one of what may be multiple copies which is the content or the pattern that multiple copies would share,class
http://purl.obolibrary.org/obo/BFO_0000034,function,(Elucidation) A function is a disposition that exists in virtue of its bearer's physical make-up & this physical make-up is something the bearer possesses because it came into being either through evolution (in the case of natural biological entities) or through intentional design (in the case of artefacts) in order to realize processes of a certain sort,class
http://purl.obolibrary.org/obo/BFO_0000035,process boundary,p is a process boundary =Def p is a temporal part of a process & p has no proper temporal parts,class
http://purl.obolibrary.org/obo/BFO_0000038,one-dimensional temporal region,(Elucidation) A one-dimensional temporal region is a temporal region that is a whole that has a temporal interval and zero or more temporal intervals and temporal instants as parts,class
http://purl.obolibrary.org/obo/BFO_0000040,material entity,(Elucidation) A material entity is an independent continuant has some portion of matter as continuant part,class
http://purl.obolibrary.org/obo/BFO_0000140,continuant fiat boundary,"(Elucidation) A continuant fiat boundary b is an immaterial entity that is of zero, one or two dimensions & such that there is no time t when b has a spatial region as continuant part & whose location is determined in relation to some material entity",class
http://purl.obolibrary.org/obo/BFO_0000141,immaterial entity,b is an immaterial entity =Def b is an independent continuant which is such that there is no time t when it has a material entity as continuant part,class
http://purl.obolibrary.org/obo/BFO_0000142,fiat line,(Elucidation) A fiat line is a one-dimensional continuant fiat boundary that is continuous,class
http://purl.obolibrary.org/obo/BFO_0000144,Process Profile,"An occurrent that is an occurrent part of some process by virtue of the rate, or pattern, or amplitude of change in an attribute of one or more participants of said process.",class
http://purl.obolibrary.org/obo/BFO_0000145,relational quality,b is a relational quality =Def b is a quality & there exists c and d such that c and d are not identical & b specifically depends on c & b specifically depends on d,class
http://purl.obolibrary.org/obo/BFO_0000146,fiat surface,(Elucidation) A fiat surface is a two-dimensional continuant fiat boundary that is self-connected,class
http://purl.obolibrary.org/obo/BFO_0000147,fiat point,(Elucidation) A fiat point is a zero-dimensional continuant fiat boundary that consists of a single point,class
http://purl.obolibrary.org/obo/BFO_0000148,zero-dimensional temporal region,(Elucidation) A zero-dimensional temporal region is a temporal region that is a whole consisting of one or more separated temporal instants as parts,class
http://purl.obolibrary.org/obo/BFO_0000182,history,(Elucidation) A history is a process that is the sum of the totality of processes taking place in the spatiotemporal region occupied by the material part of a material entity,class
http://purl.obolibrary.org/obo/BFO_0000202,temporal interval,"(Elucidation) A temporal interval is a one-dimensional temporal region that is continuous, thus without gaps or breaks",class
http://purl.obolibrary.org/obo/BFO_0000203,temporal instant,(Elucidation) A temporal instant is a zero-dimensional temporal region that has no proper temporal part,class
https://www.commoncoreontologies.org/ont00000001,Deflecting Prism,A Prism designed to deflect a beam of light entering the Prism by a fixed angle.,class
https://www.commoncoreontologies.org/ont00000002,Cooling Artifact Function,An Artifact Function that is realized in a process in which the thermal energy of a system decreases.,class
https://www.commoncoreontologies.org/ont00000003,Designative Name,A Designative Information Content Entity that consists of a string of characters that designates an entity within a specified cultural or social namespace and which is typically a word or phrase in a natural language that has an accepted cultural or social significance.,class
https://www.commoncoreontologies.org/ont00000004,Change,"A Process in which some independent continuant endures and 1) one or more of the dependent entities it bears increase or decrease in intensity, 2) the entity begins to bear some dependent entity or 3) the entity ceases to bear some dependent entity.",class
https://www.commoncoreontologies.org/ont00000005,Act,A Process in which at least one Agent plays a causative role.,class
https://www.commoncoreontologies.org/ont00000006,Upper Midrange Frequency,A Sonic Frequency that is between 2 and 4 kHz.,class
https://www.commoncoreontologies.org/ont00000007,Natural Process,A Process existing in or produced by nature; rather than by the intent of human beings.,class
https://www.commoncoreontologies.org/ont00000008,Sound Frequency,A Frequency that is the rate of Oscillations per second of a Sound Wave.,class
https://www.commoncoreontologies.org/ont00000009,Mass Density,A Quality that inheres in a bearer in virtue of that bearer's mass per unit volume.,class
https://www.commoncoreontologies.org/ont00000010,Incorporated Organization,"An Organization formed by an Act of Incorporation that consists of an association of individuals, created by law or under authority of law, having a continuous existence independent of the existences of its members and owners, and having powers and liabilities distinct from those of its members and owners.",class
https://www.commoncoreontologies.org/ont00000011,Nominal Stasis,"A Stasis of Specifically Dependent Continuant in which some Independent Continuant bears a Quality or Realizable Entity that has a level of intensity or functionality that falls within the designed, expected, or acceptable range such that the Independent Continuant is of normal value, usefulness, or functionality.",class
https://www.commoncoreontologies.org/ont00000012,Propulsion Control System,"A Control System that consists of control devices, displays, indicators, or modules designed to control a Propulsion System.",class
https://www.commoncoreontologies.org/ont00000013,Gain of Generically Dependent Continuant,A Gain of Dependent Continuant wherein some Independent Continuant becomes the carrier of some Generically Dependent Continuant.,class
https://www.commoncoreontologies.org/ont00000014,Aztec Code,A Two-Dimensional Barcode that is used by the transportation industry to scan tickets.,class
https://www.commoncoreontologies.org/ont00000015,Shotgun,"A Long Gun that fires packets of shot, a single slug, a sabot, or a specialty round (such as tear gas, bolo shell, or a breaching round) over shorter ranges than that of Rifles and with less accuracy.",class
https://www.commoncoreontologies.org/ont00000016,Triangular Waveform,A Waveform that is characterized by a triangular shape due to the continuous linear zig-zag transitions between minimum and maximum Amplitudes of the Wave Cycle.,class
https://www.commoncoreontologies.org/ont00000017,Minor Axis,A One-Dimensional Spatial Region that is the longest line segment perpendicular to the Major Axis that connects two points on the edge of an Ellipse.,class
https://www.commoncoreontologies.org/ont00000018,Title Document,A Legal Instrument that is designed as evidence of ownership.,class
https://www.commoncoreontologies.org/ont00000019,Power Inverting Artifact Function,A Current Conversion Artifact Function that is realized by processes in which some Artifact is used to convert direct current (DC) to alternating current (AC).,class
https://www.commoncoreontologies.org/ont00000020,Container,A Material Artifact that is designed to contain (wholly or partially) some material entity.,class
https://www.commoncoreontologies.org/ont00000021,Sensor Platform,"A Material Artifact that is designed to support, and in some cases transport, a Sensor during its deployment and functioning.",class
https://www.commoncoreontologies.org/ont00000022,Radio Communication Reception Artifact Function,"A Communication Reception Artifact Function that is realized during events in which an Artifact receives information transmitted from another Artifact, where the transmission of information occurs using radio waves.",class
https://www.commoncoreontologies.org/ont00000023,Sensor Deployment Artifact Function,An Artifact Function that inheres in Artifacts that are designed to support or convey one or more Sensors while the Sensors are realizing their own Artifact Functions.,class
https://www.commoncoreontologies.org/ont00000024,Act of Advising,An Act of Directive Communication performed by providing advice or counsel to another agent.,class
https://www.commoncoreontologies.org/ont00000025,Electronic Stock,Stock that consists of Bytes.,class
https://www.commoncoreontologies.org/ont00000026,Hair Color,A Quality inhering in a portion of Hair by virtue of its color.,class
https://www.commoncoreontologies.org/ont00000027,Mailing,"An Act of Communication by Media in which information and tangible objects, usually written documents, are delivered to destinations around the world.",class
https://www.commoncoreontologies.org/ont00000028,Dispersive Prism,A Prism designed to break up a beam of light entering the Prism into its constituent spectral colors by leveraging the refractive index of light based on its Frequency.,class
https://www.commoncoreontologies.org/ont00000029,Median Point Estimate Information Content Entity,A Point Estimate Information Content Entity that is a measurement of a set of values and is equal to either the middle value or the average of the two values which separate the set into two equally populated upper and lower sets.,class
https://www.commoncoreontologies.org/ont00000030,Nuclear Reactor,"A Power Source that is designed to initiate and control a self-sustained nuclear chain reaction to produce power in the form of heat, which can be transferred to a working fluid for further conversion to mechanical or electrical energy.",class
https://www.commoncoreontologies.org/ont00000031,Atmospheric Feature,A Geographic Feature that is part of the atmosphere (including the atmosphere itself as a non-proper part) having a relatively stable lifecycle and which has a location that can be distinguished from the surrounding portion of the atmosphere.,class
https://www.commoncoreontologies.org/ont00000032,Church,A Religious Facility that is designed for Christian worship and prayer.,class
https://www.commoncoreontologies.org/ont00000033,Decrease of Role,A Decrease of Realizable Entity in which some Independent Continuant has a decrease of some Role that it bears.,class
https://www.commoncoreontologies.org/ont00000034,Conveyance Artifact Function,A Motion Artifact Function that is realized in a process in which the bearer of the function conveys entities from one location to another.,class
https://www.commoncoreontologies.org/ont00000035,Soft X-ray Frequency,An X-Ray Frequency that is between 30 petahertz and 3 exahertz.,class
https://www.commoncoreontologies.org/ont00000036,Waste Management Artifact Function,A Service Artifact Function that is realized in processes of collecting transporting processing recycling or disposing and monitoring of waste materials.,class
https://www.commoncoreontologies.org/ont00000037,Act of Observation,A Planned Act of acquiring information from a source via the use of one or more senses.,class
https://www.commoncoreontologies.org/ont00000038,System Role,A Role that inheres in an entity in virtue of its parts or elements being arranged in such a way that they together exhibit behavior or meaning that they do not exhibit individually.,class
https://www.commoncoreontologies.org/ont00000039,Portion of Solid Fuel,A Portion of Fuel that is stored in a solid state.,class
https://www.commoncoreontologies.org/ont00000040,Grocery Store,A Commercial Facility that is designed to sell food.,class
https://www.commoncoreontologies.org/ont00000041,Hostel,A Residential Facility that is designed to temporarily lodge guests in a sociable environment for relatively low costs.,class
https://www.commoncoreontologies.org/ont00000042,Semicircular,A Shape quality inhering in a bearer in virtue of the bearer having the shape of half a circle.,class
https://www.commoncoreontologies.org/ont00000043,Portion of Solid Propellant,A Portion of Propellant that is stored in a solid state.,class
https://www.commoncoreontologies.org/ont00000044,Eye Color,A Quality inhering in an Eye by virtue of the color of the Eye's Iris.,class
https://www.commoncoreontologies.org/ont00000045,Petroleum Depot,"A Storage Facility that is designed to store petroleum, oil, or lubricants.",class
https://www.commoncoreontologies.org/ont00000046,Province,A First-Order Administrative Region that is part of a Country and delimits the authority of a magistrate who holds constitutionally-defined administrative jurisdiction over the defined geographic territory that bounds the Province.,class
https://www.commoncoreontologies.org/ont00000047,Flow Control Valve,A Valve that is designed to regulate the flow or Pressure of a fluid.,class
https://www.commoncoreontologies.org/ont00000048,Random Wire Antenna,"A Wire Antenna that consists of a long wire suspended above the ground with a length that does not bear a relation to the wavelength of the radio waves used and which is typically used as a receiving antenna on the long, medium, and short wave bands.",class
https://www.commoncoreontologies.org/ont00000049,Banknote,A Portion of Cash that consists of a portable slips of paper or fabric designed to bear some specified Financial Value.,class
https://www.commoncoreontologies.org/ont00000050,Very High Frequency Communication Instrument,A Radio Communication Instrument that is designed to participate in some process that has process part some Very High Frequency.,class
https://www.commoncoreontologies.org/ont00000051,Act of Construction,An Act of Artifact Processing wherein Artifacts are built on site as prescribed by some contract.,class
https://www.commoncoreontologies.org/ont00000052,Religious Facility,A Facility that is designed for worship and prayer.,class
https://www.commoncoreontologies.org/ont00000053,Ground Motor Vehicle,A Ground Vehicle that is designed to receive its motive power from an Engine and is not designed to travel on rails.,class
https://www.commoncoreontologies.org/ont00000054,Stirling Engine,"An External Combusion Engine that is designed to compress and expand some working fluid at different temperatures, such that there is a net conversion of heat energy to mechanical work.",class
https://www.commoncoreontologies.org/ont00000055,Healthcare Facility,"A Facility that is designed for the diagnosis, treatment, and prevention of disease.",class
https://www.commoncoreontologies.org/ont00000056,Reaction Engine,An Engine that provides propulsion by expelling Reaction Mass.,class
https://www.commoncoreontologies.org/ont00000057,Mobile Telephone,A Telephone that is connected to a Telephone Network by radio waves.,class
https://www.commoncoreontologies.org/ont00000058,Scalp Hair,A Bodily Component that consists of a portion of hair that grows on the scalp of a human or other animal.,class
https://www.commoncoreontologies.org/ont00000059,Telephone Line,A Telecommunication Network Line that consists of a physical wire or other signaling medium that is designed to be part of a Telephone Network.,class
https://www.commoncoreontologies.org/ont00000060,Open Pit Mine,A Mine that is designed to support the extraction of materials from the ground directly without using tunnels.,class
